date,leader,role,measure,approve,disapprove,undecided,base,sample_n,pollster,date_basis,note,article_id,url
1975-03-22,billy_snedden,opposition,job-rating,21,,,all,,Morgan Gallup,publication-week,All-time low for an Opposition Leader at the time,116340727,https://trove.nla.gov.au/newspaper/article/116340727
1975-03-22,malcolm_fraser,opposition,job-rating,36,,,all,,Morgan Gallup,publication-week,Fraser's first rating as leader; same March wave,116340727,https://trove.nla.gov.au/newspaper/article/116340727
1975-11-24,malcolm_fraser,pm,dismissal-approval,20,72,8,all,,ANOP,publication-week,Question as printed: approved/disapproved of the way Fraser became Prime Minister; swinging-voters survey also reported,236920782,https://trove.nla.gov.au/newspaper/article/236920782
1975-11-29,malcolm_fraser,pm,job-rating,55,,,all,,Morgan Gallup,publication-week,Caretaker period poll before policy speeches; disapproval not printed,102188650,https://trove.nla.gov.au/newspaper/article/102188650
1975-11-29,gough_whitlam,opposition,job-rating,42,,,all,,Morgan Gallup,publication-week,,102188650,https://trove.nla.gov.au/newspaper/article/102188650
1977-02-15,gough_whitlam,opposition,job-rating,38,,,all,,Morgan Gallup,printed-month,Published in The Bulletin; disapproval not printed,110841889,https://trove.nla.gov.au/newspaper/article/110841889
1977-02-15,malcolm_fraser,pm,job-rating,36,,,all,,Morgan Gallup,printed-month,,110841889,https://trove.nla.gov.au/newspaper/article/110841889
1977-10-15,malcolm_fraser,pm,good-job/bad-job,39,47,14,all,,unknown,printed-month,Good job/bad job question; poll source not named in article,110869916,https://trove.nla.gov.au/newspaper/article/110869916
1977-10-15,gough_whitlam,opposition,good-job/bad-job,41,43,16,all,,unknown,printed-month,Good job/bad job question; poll source not named in article,110869916,https://trove.nla.gov.au/newspaper/article/110869916
1978-08-15,bill_hayden,opposition,job-rating,48,,,all,1991,Morgan Gallup,publication-week,Fieldwork weekends of 8 and 15 Jul 1978; disapproval not printed,110900913,https://trove.nla.gov.au/newspaper/article/110900913
1978-08-15,malcolm_fraser,pm,job-rating,41,,,all,1991,Morgan Gallup,publication-week,,110900913,https://trove.nla.gov.au/newspaper/article/110900913
1982-04-15,malcolm_fraser,pm,job-rating,32,53,,all,,Morgan Gallup,printed-month,Late-March wave reported 9 Apr 1982,126915465,https://trove.nla.gov.au/newspaper/article/126915465
1982-11-06,malcolm_fraser,pm,job-rating,38,47,,all,,Morgan Gallup,publication-week,Fieldwork 30 Oct-6 Nov 1982,130830150,https://trove.nla.gov.au/newspaper/article/130830150
1982-11-06,bill_hayden,opposition,job-rating,42,36,,all,,Morgan Gallup,publication-week,,130830150,https://trove.nla.gov.au/newspaper/article/130830150
1982-12-15,malcolm_fraser,pm,job-rating,37,49,,all,,Morgan Gallup,printed-month,Late-November wave published 2 Dec 1982,130833326,https://trove.nla.gov.au/newspaper/article/130833326
1982-12-15,bill_hayden,opposition,job-rating,41,36,,all,,Morgan Gallup,printed-month,,130833326,https://trove.nla.gov.au/newspaper/article/130833326
1983-02-13,bob_hawke,opposition,job-rating,46,22,32,all,2095,Morgan Gallup,publication-week,First Gallup wave after Hawke became Opposition Leader,116451408,https://trove.nla.gov.au/newspaper/article/116451408
1983-02-13,malcolm_fraser,pm,job-rating,40,52,8,all,2095,Morgan Gallup,publication-week,,116451408,https://trove.nla.gov.au/newspaper/article/116451408
1983-02-15,malcolm_fraser,pm,job-rating,39,,,all,,Morgan Gallup,printed-month,Rose 1pc vs January per 17 Feb 1983 article,116450549,https://trove.nla.gov.au/newspaper/article/116450549
1983-02-15,bob_hawke,other,job-rating,53,,,all,,Morgan Gallup,printed-month,"Personal popularity as ACTU figure, fell 9pc from January; disapproval not printed",116450549,https://trove.nla.gov.au/newspaper/article/116450549
1984-01-16,bob_hawke,pm,job-rating,73,15,12,all,,Morgan Gallup,publication-week,First two weeks of January 1984; 91/3/6 among Labor voters,116386498,https://trove.nla.gov.au/newspaper/article/116386498
1984-01-16,andrew_peacock,opposition,job-rating,41,,,all,,Morgan Gallup,publication-week,Steadied at 41 per 26 Jan 1984 article,116386498,https://trove.nla.gov.au/newspaper/article/116386498
1984-02-25,bob_hawke,pm,job-rating,70,,,all,,Morgan Gallup,publication-week,Poll week 18-25 Feb 1984,124994750,https://trove.nla.gov.au/newspaper/article/124994750
1984-02-25,andrew_peacock,opposition,job-rating,36,,26,all,,Morgan Gallup,publication-week,Undecided rose 3pc to 26pc,124994750,https://trove.nla.gov.au/newspaper/article/124994750
1984-03-31,bob_hawke,pm,job-rating,74,,,all,,Morgan Gallup,publication-week,Steady at record 74; poll in the fortnight before 5 Apr 1984,125001431,https://trove.nla.gov.au/newspaper/article/125001431
1984-03-31,andrew_peacock,opposition,job-rating,34,,,all,,Morgan Gallup,publication-week,"Peacock sequence 41,37,39,36,36,34 (start of year, biweekly)",125001431,https://trove.nla.gov.au/newspaper/article/125001431
1984-05-31,bob_hawke,pm,job-rating,72,,,all,,Morgan Gallup,publication-week,,127000847,https://trove.nla.gov.au/newspaper/article/127000847
1984-05-31,andrew_peacock,opposition,job-rating,34,,,all,,Morgan Gallup,publication-week,,127000847,https://trove.nla.gov.au/newspaper/article/127000847
1984-06-07,bob_hawke,pm,job-rating,68,,,all,,Morgan Gallup,publication-week,Poll during assets-test debate,127002388,https://trove.nla.gov.au/newspaper/article/127002388
1984-06-07,andrew_peacock,opposition,job-rating,37,,,all,,Morgan Gallup,publication-week,,127002388,https://trove.nla.gov.au/newspaper/article/127002388
1984-06-23,bob_hawke,pm,job-rating,69,,,all,,Morgan Gallup,publication-week,Fieldwork weekends of 9 and 16 Jun 1984,127005828,https://trove.nla.gov.au/newspaper/article/127005828
1984-06-23,andrew_peacock,opposition,job-rating,31,,,all,,Morgan Gallup,publication-week,Peacock's lowest yet at publication,127005828,https://trove.nla.gov.au/newspaper/article/127005828
1984-08-15,bob_hawke,pm,job-rating,68,,,all,,Morgan Gallup,printed-month,,127221565,https://trove.nla.gov.au/newspaper/article/127221565
1984-08-15,andrew_peacock,opposition,job-rating,35,,,all,,Morgan Gallup,printed-month,,127221565,https://trove.nla.gov.au/newspaper/article/127221565
1984-09-16,bob_hawke,pm,job-rating,66,,,all,,Morgan Gallup,publication-week,Weekend of 15-16 Sep 1984,136918540,https://trove.nla.gov.au/newspaper/article/136918540
1984-09-16,andrew_peacock,opposition,job-rating,25,,,all,,Morgan Gallup,publication-week,Equal-lowest leader rating recorded to this point (with McMahon's 25),136918540,https://trove.nla.gov.au/newspaper/article/136918540
1984-09-23,bob_hawke,pm,job-rating,67,,,all,,Morgan Gallup,publication-week,Weekend of 22-23 Sep 1984,136919920,https://trove.nla.gov.au/newspaper/article/136919920
1984-09-23,andrew_peacock,opposition,job-rating,25,,,all,,Morgan Gallup,publication-week,,136919920,https://trove.nla.gov.au/newspaper/article/136919920
1984-09-30,bob_hawke,pm,job-rating,69,,,all,,Morgan Gallup,publication-week,Weekend of 29-30 Sep 1984,136921141,https://trove.nla.gov.au/newspaper/article/136921141
1984-09-30,andrew_peacock,opposition,job-rating,22,,,all,,Morgan Gallup,publication-week,,136921141,https://trove.nla.gov.au/newspaper/article/136921141
1984-10-13,bob_hawke,pm,job-rating,68,,,all,958,Morgan Gallup,publication-week,,136923815,https://trove.nla.gov.au/newspaper/article/136923815
1984-10-13,andrew_peacock,opposition,job-rating,19,,,all,958,Morgan Gallup,publication-week,Lowest Gallup rating for any Federal leader at the time,136923815,https://trove.nla.gov.au/newspaper/article/136923815
1984-10-27,bob_hawke,pm,job-rating,67,,,all,,Morgan Gallup,publication-week,Poll taken about ten days before 1 Nov 1984,122525999,https://trove.nla.gov.au/newspaper/article/122525999
1984-10-27,andrew_peacock,opposition,job-rating,24,,,all,,Morgan Gallup,publication-week,,122525999,https://trove.nla.gov.au/newspaper/article/122525999
1984-11-04,bob_hawke,pm,job-rating,68,,,all,,Morgan Gallup,publication-week,Fieldwork weekend of 3-4 Nov 1984,122528594,https://trove.nla.gov.au/newspaper/article/122528594
1984-11-04,andrew_peacock,opposition,job-rating,28,,,all,,Morgan Gallup,publication-week,,122528594,https://trove.nla.gov.au/newspaper/article/122528594
1984-11-10,bob_hawke,pm,job-rating,67,,,all,,Morgan Gallup,publication-week,Poll weekend after leaders' policy speeches,122529807,https://trove.nla.gov.au/newspaper/article/122529807
1984-11-10,andrew_peacock,opposition,job-rating,31,,,all,,Morgan Gallup,publication-week,Article says recovered two points to 31 though prior printed wave was 28,122529807,https://trove.nla.gov.au/newspaper/article/122529807
1985-02-17,bob_hawke,pm,job-rating,57,,,all,,Morgan Gallup,publication-week,Low point cited in 14 Mar 1985 article,122503149,https://trove.nla.gov.au/newspaper/article/122503149
1985-03-03,bob_hawke,pm,job-rating,58,,,all,,Morgan Gallup,publication-week,Poll weekends of 23-24 Feb and 2-3 Mar 1985,122503149,https://trove.nla.gov.au/newspaper/article/122503149
1985-03-03,andrew_peacock,opposition,job-rating,51,,,all,,Morgan Gallup,publication-week,,122503149,https://trove.nla.gov.au/newspaper/article/122503149
1985-04-06,bob_hawke,pm,job-rating,55,,,all,,Morgan Gallup,publication-week,First two weekends of April 1985; peak was 75 in Mar 1984 per 25 Apr 1985 article,122474895,https://trove.nla.gov.au/newspaper/article/122474895
1985-04-06,andrew_peacock,opposition,job-rating,47,,,all,,Morgan Gallup,publication-week,Post-election high was 56,122474895,https://trove.nla.gov.au/newspaper/article/122474895
1985-04-30,bob_hawke,pm,job-rating,52,,,all,,Morgan Gallup,publication-week,Lost 3 points in April,127008418,https://trove.nla.gov.au/newspaper/article/127008418
1985-08-07,bob_hawke,pm,job-rating,50,,,all,,Morgan Gallup,publication-week,Highest in four polls; weekends of late Jul and early Aug 1985,122522652,https://trove.nla.gov.au/newspaper/article/122522652
