id,date,title,n,fieldwork,alp,coalition,dem,oth,und,tpp_alp,pm,pm_pct,opp,opp_pct,note,url
127200877,1993-03-10,ELECTION COUNTDOWN POLLS | Labor talks about life in Opposition,,,1.6,,,,,42,,,,,,https://trove.nla.gov.au/newspaper/article/127200877
127202251,1993-03-16,Women put their faith in Keating,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127202251
127203077,1993-03-20,POLL WATCH Voters decided before the campaign began,,,42,48,,,,,Keating,40,Hewson,43,,https://trove.nla.gov.au/newspaper/article/127203077
127203699,1993-03-23,Lib machine adds sting on ballot eve,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127203699
127204689,1993-03-27,POLL WATCH Keating's approval rate peaks at 42pc,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127204689
127205554,1993-03-31,Keating support up since poll,,on the Sunday after the election and on the weekend of March 19-21,12,,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/127205554
126982731,1993-04-17,Labor keeps top spot in the polls POLL WATCH,2078,"on March 26 to 28 and April 2 lo 4, used data from face-to-facc interviews with 2078 electors",49,40,3,3,,,Keating,31,Hewson,18,,https://trove.nla.gov.au/newspaper/article/126982731
126983501,1993-04-21,NSW Labor leads by 11pc,,,50,,2,5,,,,,,,state-title|sum=57,https://trove.nla.gov.au/newspaper/article/126983501
126984220,1993-04-24,Gap wider between federal parties,1121,,,50,,,13,,,,,,,https://trove.nla.gov.au/newspaper/article/126984220
126985225,1993-04-28,Government support is on the increase,,,50,39,,,,,Keating,31,Hewson,,,https://trove.nla.gov.au/newspaper/article/126985225
126985892,1993-05-01,POLL WATCH Coalition trailing Govt by even more,,"in mid-April, used data from 2045 face-to-face interviews with voters across Australia",50,,3,4,,,,,,,sum=57,https://trove.nla.gov.au/newspaper/article/126985892
126986870,1993-05-05,FEDERAL POLITICS Nats play down republic split,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/126986870
126987379,1993-05-08,POLL WATCH 56pc predict republic by year 2001,,,,,,,,,Keating,46,Hewson,,,https://trove.nla.gov.au/newspaper/article/126987379
126988868,1993-05-15,Federal politicians' popularity declines POLL WATCH,2066,"on April 23 lo 25, 30, and May 1 and 2",46,39,4,5,,,Keating,,Hewson,48,,https://trove.nla.gov.au/newspaper/article/126988868
126990297,1993-05-22,"Keating, Labor slip, but still well in front POLL WATCH",,,47,39,5,,,,,,,,,https://trove.nla.gov.au/newspaper/article/126990297
126991118,1993-05-26,Coalition refuses to overturn tax cuts,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/126991118
127230754,1993-06-05,Hewson recovers a little popularity POLL WATCH,,on May 15 to 16 and May 22 to 23,45,43,6,6,,49,,,,,,https://trove.nla.gov.au/newspaper/article/127230754
127232220,1993-06-12,"POLL WATCH Support for ALP down, polls show",,,46,41,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/127232220
127234419,1993-06-23,"Support drops for Coalition, Hewson: poll",,,43.7,43.7,2,6,,,,,,,,https://trove.nla.gov.au/newspaper/article/127234419
127235955,1993-06-30,Employers polled on enterprise bargains,700,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127235955
127237630,1993-07-07,Government still ahead in poll,,,40,47,,,,,Keating,45,Hewson,33,,https://trove.nla.gov.au/newspaper/article/127237630
127237688,1993-07-07,Optus lags in opinion poll,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127237688
127239399,1993-07-14,Long-term tenure for Hewson rated low,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127239399
127241032,1993-07-21,"Fischer will batten down, says Hewson",,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127241032
127223882,1993-08-04,PM's popularity rating slips,,,,41,,,,,Keating,,Hewson,43,,https://trove.nla.gov.au/newspaper/article/127223882
127227906,1993-08-23,Govt waters down 'no cuts' pledge,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127227906
127247294,1993-09-15,PM continues to lose support,,,36,46,3,3,,,Keating,,Hewson,38,,https://trove.nla.gov.au/newspaper/article/127247294
127250824,1993-09-29,Coalition lead cut: poll,,"in mid-September, found that support for the coalition parties dropped two points to 44 per c",36,36,,,,,Keating,36,Hewson,,,https://trove.nla.gov.au/newspaper/article/127250824
127510277,1993-10-09,OUT OF THE WETLANDS,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127510277
127521435,1993-11-01,Bishop pressing Hewson,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127521435
127521975,1993-11-03,Fahey scores in Games victory,,"during September and October, following the announcement of Sydney as the year 2000 Games host ci",,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127521975
127256099,1993-12-22,Almost half oppose new flag by 2000,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127256099
134300609,1994-02-09,43pc back republic,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/134300609
118160724,1994-03-28,Bishop rules out Hewson challenge,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/118160724
118161192,1994-03-30,POLL-WATCH See-saw polls now put ALP in the lead,,,43,42,,,,,Keating,,Hewson,39,,https://trove.nla.gov.au/newspaper/article/118161192
118111603,1994-04-06,IN BRIEF Coalition support in Senate drops,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/118111603
118209003,1994-05-02,Letters to the Editor ACF backs public transport,,"in Townsville, Cairns, Mackay, Rockhampton and Toowoomba to assess community attitudes to cir",,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/118209003
118210797,1994-05-11,Opposition reduces gap,,,43,41,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/118210797
118213937,1994-05-26,Hewson's softer role,,,19,19,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/118213937
118259643,1994-08-01,Party outdated: Hewson,,,41,39,,,,,Keating,36,Downer,,,https://trove.nla.gov.au/newspaper/article/118259643
118292407,1994-10-19,IN BRIEF Photographer safe and well,,,33,,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/118292407
118293569,1994-10-24,Lib leader given six months to perform,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/118293569
130535055,1994-11-02,NSW ALP holds on to lead: poll,,,,29,3,5,,,,,,,state-title|sum=37,https://trove.nla.gov.au/newspaper/article/130535055
133336840,1995-02-20,Green is the colour of the future IRVING SAULWICK analyses the results of several polls and finds that a large number of Australians give protecting the environment top priority.,,"over recent years have consistently shown ,that voters are concerned about the",,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/133336840
127528207,1995-06-02,Let youth feast on policy not on showbiz,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127528207
128285499,1995-07-05,Further strife hits WA Libs,,,10,15,,,,,,,,,state-title,https://trove.nla.gov.au/newspaper/article/128285499
128288157,1995-07-18,Waller 'perfect' for heroin probe,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/128288157
128288467,1995-07-20,Goss might still hold government,600,,11,,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/128288467
127279848,1995-09-09,Saturday FORUM Learning to live with Jeff,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/127279848
127283056,1995-09-22,PM tries to shore up marable,,,36,48,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/127283056
130566930,1995-10-28,"Saturday FORUM DENIS MULLER lists death, sabotage and character assassination in Victoria's venomous game of politics Life with Jeffrey will never be dull | STATE OF THE STATES A New Series This week: VICTORIA",,,,,,,,,,,,,state-title|no-figures,https://trove.nla.gov.au/newspaper/article/130566930
133920241,1995-12-16,Davies gets dumped by Qld Labor,,,,,,11,,49,,,,,state-title,https://trove.nla.gov.au/newspaper/article/133920241
