date,election,alp,coalition,lib,nat,greens,one_nation,nxt,family_first,democrats,independents,other_parties,other,undecided,mode,dlp,pollster,date_basis,note,article_id,url
1950-02-15,,44,56,,,,,,,,,,,,,,APOP Gallup,printed-month,Gallup estimate with undecided allocated,26687658,https://trove.nla.gov.au/newspaper/article/26687658
1950-04-15,,46,54,,,,,,,,,,,,,,APOP Gallup,printed-month,Gallup estimate with undecided allocated,50213331,https://trove.nla.gov.au/newspaper/article/50213331
1950-12-15,,42,47,,,,,,,,1,,,10,,,APOP Gallup,printed-month,,50096714,https://trove.nla.gov.au/newspaper/article/50096714
1951-03-15,,44,49,,,,,,,,1,,,6,,,APOP Gallup,printed-month,,50096714,https://trove.nla.gov.au/newspaper/article/50096714
1951-04-22,,43,49,,,,,,,,1,,,7,,,APOP Gallup,publication-week,Weekend before 28 Apr election; allocated estimate LCP52 Lab47,45695923,https://trove.nla.gov.au/newspaper/article/45695923
1951-08-15,,46,44,,,,,,,,1,,,9,,,APOP Gallup,printed-month,,50222066,https://trove.nla.gov.au/newspaper/article/50222066
1951-11-15,,48,38,,,,,,,,1,,,13,,,APOP Gallup,printed-month,,50222066,https://trove.nla.gov.au/newspaper/article/50222066
1952-02-15,,47,42,,,,,,,,1,,,10,,,APOP Gallup,printed-month,,50316923,https://trove.nla.gov.au/newspaper/article/50316923
1952-05-15,,51,35,,,,,,,,1,,,13,,,APOP Gallup,printed-month,,265875296,https://trove.nla.gov.au/newspaper/article/265875296
1952-11-15,,54,32,,,,,,,,1,,,13,,,APOP Gallup,printed-month,Wave labelled 'Nov' in 29 Nov 1952 Herald and 'Oct' in 11 Mar 1953 Daily News retrospective,245285930,https://trove.nla.gov.au/newspaper/article/245285930
1953-02-15,,54,33,,,,,,,,1,,,12,,,APOP Gallup,printed-month,,266061944,https://trove.nla.gov.au/newspaper/article/266061944
1953-05-03,,52,39,,,,,,,,,,1,8,,,APOP Gallup,publication-week,Weekend before 9 May Senate election,231042505,https://trove.nla.gov.au/newspaper/article/231042505
1953-09-15,,54,45,,,,,,,,,,1,,,,APOP Gallup,printed-month,Gallup estimated vote with undecided allocated per March 1954 retrospective,47569753,https://trove.nla.gov.au/newspaper/article/47569753
1953-10-15,,52,47,,,,,,,,,,1,,,,APOP Gallup,printed-month,Gallup estimated vote with undecided allocated per March 1954 retrospective,47569753,https://trove.nla.gov.au/newspaper/article/47569753
1953-12-15,,46,43,,,,,,,,1,,,10,,,APOP Gallup,printed-month,Raw intentions; Gallup allocated estimate Lab51 LCP48,28658841,https://trove.nla.gov.au/newspaper/article/28658841
1954-01-15,,51,47,,,,,,,,,,1,,,,APOP Gallup,printed-month,Gallup estimated vote with undecided allocated per March 1954 retrospective,47569753,https://trove.nla.gov.au/newspaper/article/47569753
1954-02-15,,47,43,,,,,,,,1,,,9,,,APOP Gallup,printed-month,Raw intentions; Gallup allocated estimate Lab51 LCP47,47569753,https://trove.nla.gov.au/newspaper/article/47569753
1954-05-23,,48,46,,,,,,,,,,1,5,,,APOP Gallup,publication-week,Contested seats only (114); weekend before 29 May election,230779504,https://trove.nla.gov.au/newspaper/article/230779504
1954-09-15,,43,47,,,,,,,,,,,10,,,APOP Gallup,printed-month,Raw intentions; Gallup allocated estimate LCP52 Lab48,248334390,https://trove.nla.gov.au/newspaper/article/248334390
1954-10-15,,43,50,,,,,,,,,,,7,,,APOP Gallup,printed-month,Party preference stated alongside leader question; 7pc would not choose; allocated estimate LCP53 Lab47,47600630,https://trove.nla.gov.au/newspaper/article/47600630
1954-12-15,,46,53,,,,,,,,,,1,,,,APOP Gallup,printed-month,Gallup estimated vote with undecided allocated per August 1955 retrospective,266335911,https://trove.nla.gov.au/newspaper/article/266335911
1955-02-15,,41,48,,,,,,,,1,,,10,,,APOP Gallup,printed-month,Raw intentions; Gallup allocated estimate LCP53 Lab46,266300910,https://trove.nla.gov.au/newspaper/article/266300910
1955-04-15,,42,47,,,,,,,,,,,11,,,APOP Gallup,printed-month,"Raw intentions, fieldwork just before Easter; Gallup allocated estimate LCP52 Lab48",266320831,https://trove.nla.gov.au/newspaper/article/266320831
1971-03-15,,43,47,,,,,,,,,,4,,,6,Morgan Gallup,printed-month,,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1971-08-15,,45,42,,,,,,,,,,3,,,10,Morgan Gallup,printed-month,,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1971-11-15,,45,45,,,,,,,,,,3,,,7,Morgan Gallup,printed-month,,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1972-02-15,,49,40,,,,,,,,,,4,,,7,Morgan Gallup,printed-month,,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1972-04-01,,50,37,,,,,,,,,,6,,,7,Morgan Gallup,printed-month,Early April poll a week before the mini-budget,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1972-04-29,,48,40,,,,,,,,,,5,,,7,Morgan Gallup,printed-month,Late April poll two weeks after mini-budget; Australia Party 2pc included in other,102021218,https://trove.nla.gov.au/newspaper/article/102021218
1972-06-01,,46,42,,,,,,,,,,,,,,Morgan Gallup,printed-month,Only ALP and L-CP figures printed in source article,101992636,https://trove.nla.gov.au/newspaper/article/101992636
1972-09-15,,46,45,,,,,,,,,,4.5,,,5,Morgan Gallup,printed-month,Post-Budget poll as restated in 27 Nov 1972 Canberra Times,110622456,https://trove.nla.gov.au/newspaper/article/110622456
1972-11-15,,49,41,,,,,,,,,,5,6,,5,Morgan Gallup,printed-month,6pc left ballot unmarked; Australia Party and DoGS inside other,110622456,https://trove.nla.gov.au/newspaper/article/110622456
1973-03-15,,53,40,,,,,,,,,,4,,,3,Morgan Gallup,printed-month,,136968493,https://trove.nla.gov.au/newspaper/article/136968493
1984-08-15,,51,42,,,,,,,,,,,,,,Morgan Gallup,printed-month,Liberal-National combined,127221565,https://trove.nla.gov.au/newspaper/article/127221565
1984-11-15,,50,,,,,,,,,,,,,,,Spectrum,printed-month,ALP two points down on previous Spectrum poll; coalition figure not printed,122529807,https://trove.nla.gov.au/newspaper/article/122529807
1985-02-15,,43,47,,,,,,,,,,,,,,Morgan Gallup,printed-month,Liberal-National combined,122485198,https://trove.nla.gov.au/newspaper/article/122485198
1985-04-15,,42,47,,,,,,,,,,,,,,Morgan Gallup,printed-month,April wave restated in Bulletin-published Morgan poll of 13 June 1985,122515670,https://trove.nla.gov.au/newspaper/article/122515670
1985-05-15,,40,49,,,,,,,,,,,,,,Morgan Gallup,printed-month,Liberal-National combined,122515670,https://trove.nla.gov.au/newspaper/article/122515670
