year,month,articles,figures
1815,9,0,0
1815,10,0,0
1815,11,0,0
1815,12,0,0
1816,1,0,0
1816,2,0,0
1816,3,0,0
1816,4,0,0
1816,5,0,0
1816,6,0,0
1816,7,0,0
1816,8,0,0
1816,9,1,0
1816,10,0,0
1816,11,0,0
1816,12,0,0
1817,1,0,0
1817,2,0,0
1817,3,0,0
1817,4,0,0
1817,5,0,0
1817,6,0,0
1817,7,0,0
1817,8,0,0
1817,9,0,0
1817,10,0,0
1817,11,0,0
1817,12,0,0
1818,1,0,0
1818,2,0,0
1818,3,0,0
1818,4,0,0
1818,5,0,0
1818,6,0,0
1818,7,0,0
1818,8,0,0
1818,9,0,0
1818,10,0,0
1818,11,2,0
1818,12,0,0
1819,1,0,0
1819,2,1,0
1819,3,0,0
1819,4,0,0
1819,5,0,0
1819,6,0,0
1819,7,0,0
1819,8,0,0
1819,9,0,0
1819,10,0,0
1819,11,0,0
1819,12,0,0
1820,1,1,0
1820,2,0,0
1820,3,0,0
1820,4,0,0
1820,5,0,0
1820,6,0,0
1820,7,0,0
1820,8,0,0
1820,9,0,0
1820,10,0,0
1820,11,0,0
1820,12,0,0
1821,1,0,0
1821,2,0,0
1821,3,0,0
1821,4,0,0
1821,5,0,0
1821,6,0,0
1821,7,1,0
1821,8,0,0
1821,9,0,0
1821,10,1,0
1821,11,0,0
1821,12,0,0
1822,1,0,0
1822,2,1,0
1822,3,0,0
1822,4,0,0
1822,5,0,0
1822,6,1,0
1822,7,0,0
1822,8,0,0
1822,9,0,0
1822,10,0,0
1822,11,0,0
1822,12,1,0
1823,1,1,0
1823,2,5,0
1823,3,0,0
1823,4,0,0
1823,5,1,0
1823,6,1,0
1823,7,2,0
1823,8,1,0
1823,9,0,0
1823,10,4,0
1823,11,0,0
1823,12,0,0
1824,1,1,0
1824,2,1,0
1824,3,0,0
1824,4,0,0
1824,5,0,0
1824,6,2,0
1824,7,3,0
1824,8,0,0
1824,9,2,0
1824,10,1,0
1824,11,0,0
1824,12,0,0
1825,1,1,0
1825,2,0,0
1825,3,1,0
1825,4,0,0
1825,5,1,0
1825,6,1,0
1825,7,2,0
1825,8,1,0
1825,9,1,0
1825,10,2,0
1825,11,2,0
1825,12,2,0
1826,1,3,0
1826,2,3,0
1826,3,0,0
1826,4,0,0
1826,5,3,0
1826,6,2,0
1826,7,5,0
1826,8,0,0
1826,9,10,0
1826,10,3,0
1826,11,13,0
1826,12,8,0
1827,1,9,0
1827,2,5,0
1827,3,13,0
1827,4,10,0
1827,5,8,0
1827,6,11,0
1827,7,10,0
1827,8,11,0
1827,9,7,0
1827,10,11,0
1827,11,18,0
1827,12,11,0
1828,1,7,0
1828,2,10,0
1828,3,6,0
1828,4,8,0
1828,5,16,0
1828,6,8,0
1828,7,14,0
1828,8,19,0
1828,9,10,0
1828,10,8,0
1828,11,9,0
1828,12,17,0
1829,1,10,0
1829,2,8,0
1829,3,11,0
1829,4,8,0
1829,5,7,0
1829,6,11,0
1829,7,14,0
1829,8,7,0
1829,9,2,0
1829,10,4,0
1829,11,5,0
1829,12,3,0
1830,1,13,0
1830,2,15,0
1830,3,10,0
1830,4,24,0
1830,5,15,0
1830,6,13,0
1830,7,13,0
1830,8,22,0
1830,9,6,0
1830,10,9,0
1830,11,5,0
1830,12,14,0
1831,1,19,0
1831,2,18,0
1831,3,11,0
1831,4,27,0
1831,5,15,0
1831,6,21,0
1831,7,33,0
1831,8,20,0
1831,9,16,0
1831,10,30,0
1831,11,11,0
1831,12,21,0
1832,1,31,0
1832,2,35,0
1832,3,26,0
1832,4,17,0
1832,5,32,0
1832,6,21,0
1832,7,15,0
1832,8,22,0
1832,9,18,0
1832,10,18,0
1832,11,42,0
1832,12,17,0
1833,1,29,0
1833,2,27,0
1833,3,39,0
1833,4,36,0
1833,5,57,0
1833,6,43,0
1833,7,32,0
1833,8,23,0
1833,9,18,0
1833,10,27,0
1833,11,32,0
1833,12,60,0
1834,1,27,0
1834,2,23,0
1834,3,27,0
1834,4,12,0
1834,5,29,0
1834,6,20,0
1834,7,16,0
1834,8,13,0
1834,9,21,0
1834,10,21,0
1834,11,17,0
1834,12,29,0
1835,1,32,0
1835,2,17,0
1835,3,34,0
1835,4,21,0
1835,5,24,0
1835,6,20,0
1835,7,24,0
1835,8,10,0
1835,9,19,0
1835,10,22,0
1835,11,30,0
1835,12,14,0
1836,1,40,0
1836,2,20,0
1836,3,14,0
1836,4,22,0
1836,5,21,0
1836,6,21,0
1836,7,18,0
1836,8,20,0
1836,9,33,0
1836,10,24,0
1836,11,15,0
1836,12,27,0
1837,1,18,0
1837,2,25,0
1837,3,22,0
1837,4,19,0
1837,5,22,0
1837,6,23,0
1837,7,17,0
1837,8,16,0
1837,9,24,0
1837,10,12,0
1837,11,48,0
1837,12,29,0
1838,1,31,0
1838,2,20,0
1838,3,19,0
1838,4,7,0
1838,5,14,0
1838,6,12,0
1838,7,26,0
1838,8,72,0
1838,9,48,0
1838,10,24,0
1838,11,22,0
1838,12,23,0
1839,1,48,0
1839,2,20,0
1839,3,25,0
1839,4,30,0
1839,5,31,0
1839,6,12,0
1839,7,19,0
1839,8,11,0
1839,9,20,0
1839,10,32,0
1839,11,34,0
1839,12,22,0
1840,1,8,0
1840,2,19,0
1840,3,44,0
1840,4,27,0
1840,5,29,0
1840,6,40,0
1840,7,79,0
1840,8,73,0
1840,9,87,0
1840,10,91,0
1840,11,71,0
1840,12,42,0
1841,1,57,0
1841,2,57,0
1841,3,62,0
1841,4,45,0
1841,5,46,0
1841,6,67,0
1841,7,48,0
1841,8,34,0
1841,9,62,0
1841,10,95,0
1841,11,107,0
1841,12,99,0
1842,1,52,0
1842,2,69,0
1842,3,51,0
1842,4,59,0
1842,5,50,0
1842,6,48,0
1842,7,42,0
1842,8,46,0
1842,9,28,0
1842,10,76,0
1842,11,73,0
1842,12,81,0
1843,1,85,0
1843,2,100,0
1843,3,124,0
1843,4,101,0
1843,5,115,0
1843,6,332,0
1843,7,161,0
1843,8,37,0
1843,9,56,0
1843,10,113,0
1843,11,60,0
1843,12,37,0
1844,1,45,0
1844,2,38,0
1844,3,50,0
1844,4,88,0
1844,5,131,0
1844,6,50,0
1844,7,74,0
1844,8,55,0
1844,9,36,0
1844,10,70,0
1844,11,76,0
1844,12,49,0
1845,1,48,0
1845,2,66,0
1845,3,94,0
1845,4,93,0
1845,5,89,0
1845,6,43,0
1845,7,80,0
1845,8,113,0
1845,9,122,0
1845,10,115,0
1845,11,127,0
1845,12,59,0
1846,1,38,0
1846,2,44,0
1846,3,40,0
1846,4,59,0
1846,5,70,0
1846,6,76,0
1846,7,80,0
1846,8,81,0
1846,9,82,0
1846,10,68,0
1846,11,85,0
1846,12,65,0
1847,1,80,0
1847,2,52,0
1847,3,69,0
1847,4,63,0
1847,5,89,0
1847,6,58,0
1847,7,71,0
1847,8,50,0
1847,9,48,0
1847,10,60,0
1847,11,96,0
1847,12,85,0
1848,1,76,0
1848,2,83,0
1848,3,89,0
1848,4,72,0
1848,5,63,0
1848,6,56,0
1848,7,308,0
1848,8,288,0
1848,9,173,0
1848,10,122,0
1848,11,82,0
1848,12,66,0
1849,1,59,0
1849,2,80,0
1849,3,128,0
1849,4,116,0
1849,5,92,0
1849,6,144,0
1849,7,149,0
1849,8,118,0
1849,9,77,0
1849,10,104,0
1849,11,133,0
1849,12,143,0
1850,1,64,0
1850,2,84,0
1850,3,90,0
1850,4,68,0
1850,5,105,0
1850,6,205,0
1850,7,137,1
1850,8,112,0
1850,9,85,0
1850,10,136,0
1850,11,213,0
1850,12,169,0
1851,1,78,0
1851,2,138,0
1851,3,183,0
1851,4,156,0
1851,5,133,0
1851,6,165,0
1851,7,456,0
1851,8,339,0
1851,9,529,0
1851,10,358,0
1851,11,272,0
1851,12,166,0
1852,1,87,0
1852,2,55,0
1852,3,46,0
1852,4,74,0
1852,5,76,0
1852,6,127,0
1852,7,80,0
1852,8,75,0
1852,9,56,0
1852,10,124,0
1852,11,182,0
1852,12,179,0
1853,1,212,0
1853,2,168,0
1853,3,207,0
1853,4,164,0
1853,5,196,0
1853,6,241,0
1853,7,225,0
1853,8,149,0
1853,9,238,0
1853,10,203,0
1853,11,242,0
1853,12,331,0
1854,1,318,0
1854,2,239,0
1854,3,330,0
1854,4,271,0
1854,5,322,0
1854,6,326,0
1854,7,263,0
1854,8,249,0
1854,9,198,0
1854,10,205,0
1854,11,211,0
1854,12,200,0
1855,1,265,0
1855,2,280,0
1855,3,388,0
1855,4,202,0
1855,5,229,0
1855,6,142,0
1855,7,210,0
1855,8,238,0
1855,9,492,0
1855,10,316,0
1855,11,408,0
1855,12,305,0
1856,1,329,0
1856,2,414,0
1856,3,881,0
1856,4,840,0
1856,5,383,0
1856,6,429,0
1856,7,271,1
1856,8,560,0
1856,9,1043,0
1856,10,1139,0
1856,11,456,0
1856,12,386,0
1857,1,457,0
1857,2,388,0
1857,3,711,0
1857,4,481,0
1857,5,790,0
1857,6,503,0
1857,7,358,0
1857,8,363,0
1857,9,350,0
1857,10,352,0
1857,11,392,0
1857,12,466,0
1858,1,946,0
1858,2,753,0
1858,3,629,0
1858,4,308,0
1858,5,340,0
1858,6,271,0
1858,7,308,0
1858,8,426,0
1858,9,526,0
1858,10,524,0
1858,11,273,0
1858,12,423,0
1859,1,434,0
1859,2,314,0
1859,3,309,0
1859,4,424,0
1859,5,566,0
1859,6,1225,0
1859,7,729,1
1859,8,830,0
1859,9,1050,0
1859,10,607,0
1859,11,615,0
1859,12,505,0
1860,1,552,0
1860,2,615,0
1860,3,745,0
1860,4,625,0
1860,5,776,0
1860,6,431,0
1860,7,374,0
1860,8,367,0
1860,9,386,0
1860,10,532,0
1860,11,668,0
1860,12,1263,0
1861,1,514,0
1861,2,493,0
1861,3,521,0
1861,4,520,0
1861,5,724,0
1861,6,797,0
1861,7,879,2
1861,8,1276,0
1861,9,464,0
1861,10,545,0
1861,11,664,0
1861,12,516,0
1862,1,434,0
1862,2,567,0
1862,3,428,0
1862,4,522,0
1862,5,503,0
1862,6,358,0
1862,7,433,0
1862,8,590,0
1862,9,565,0
1862,10,578,0
1862,11,871,0
1862,12,603,0
1863,1,603,0
1863,2,630,0
1863,3,552,0
1863,4,496,0
1863,5,675,0
1863,6,794,0
1863,7,637,0
1863,8,640,0
1863,9,435,0
1863,10,464,0
1863,11,649,0
1863,12,600,0
1864,1,395,0
1864,2,611,0
1864,3,338,0
1864,4,427,0
1864,5,358,0
1864,6,429,0
1864,7,524,2
1864,8,680,0
1864,9,669,0
1864,10,1072,0
1864,11,1212,1
1864,12,1443,0
1865,1,591,0
1865,2,1004,0
1865,3,886,0
1865,4,448,0
1865,5,382,0
1865,6,428,0
1865,7,507,0
1865,8,702,0
1865,9,609,0
1865,10,632,0
1865,11,630,0
1865,12,865,0
1866,1,1100,0
1866,2,818,0
1866,3,479,0
1866,4,414,0
1866,5,342,0
1866,6,423,0
1866,7,541,0
1866,8,803,0
1866,9,841,0
1866,10,735,0
1866,11,493,0
1866,12,720,0
1867,1,472,0
1867,2,617,0
1867,3,548,0
1867,4,388,0
1867,5,342,0
1867,6,849,0
1867,7,891,2
1867,8,1178,0
1867,9,506,0
1867,10,556,0
1867,11,516,0
1867,12,498,0
1868,1,995,0
1868,2,1274,0
1868,3,586,0
1868,4,710,0
1868,5,957,0
1868,6,692,0
1868,7,722,0
1868,8,841,0
1868,9,976,0
1868,10,885,0
1868,11,728,1
1868,12,846,0
1869,1,525,0
1869,2,879,0
1869,3,745,0
1869,4,612,0
1869,5,603,0
1869,6,487,0
1869,7,671,0
1869,8,729,0
1869,9,548,0
1869,10,693,0
1869,11,745,0
1869,12,1804,0
1870,1,941,3
1870,2,1010,1
1870,3,1033,0
1870,4,1185,0
1870,5,576,0
1870,6,590,0
1870,7,900,0
1870,8,1422,0
1870,9,817,0
1870,10,602,0
1870,11,754,0
1870,12,937,0
1871,1,780,0
1871,2,1187,1
1871,3,1166,0
1871,4,641,0
1871,5,472,0
1871,6,589,0
1871,7,1180,0
1871,8,1306,0
1871,9,901,0
1871,10,694,0
1871,11,646,1
1871,12,1181,0
1872,1,661,0
1872,2,1655,0
1872,3,1575,0
1872,4,557,0
1872,5,677,0
1872,6,987,0
1872,7,979,0
1872,8,1047,0
1872,9,807,0
1872,10,594,0
1872,11,652,0
1872,12,689,0
1873,1,534,0
1873,2,717,0
1873,3,677,0
1873,4,649,0
1873,5,722,0
1873,6,855,0
1873,7,993,0
1873,8,1066,0
1873,9,907,0
1873,10,727,0
1873,11,1262,0
1873,12,876,0
1874,1,733,0
1874,2,954,0
1874,3,1084,0
1874,4,1401,0
1874,5,908,0
1874,6,817,0
1874,7,1025,0
1874,8,1235,0
1874,9,751,2
1874,10,617,0
1874,11,719,0
1874,12,1929,0
1875,1,1259,3
1875,2,1419,2
1875,3,1056,0
1875,4,861,0
1875,5,962,0
1875,6,955,1
1875,7,1019,0
1875,8,930,0
1875,9,598,0
1875,10,704,0
1875,11,846,0
1875,12,699,0
1876,1,793,0
1876,2,1173,2
1876,3,772,0
1876,4,816,0
1876,5,715,0
1876,6,889,0
1876,7,1195,0
1876,8,1297,0
1876,9,1251,0
1876,10,944,0
1876,11,893,0
1876,12,792,0
1877,1,782,0
1877,2,1167,0
1877,3,1219,0
1877,4,1367,1
1877,5,1903,0
1877,6,1139,3
1877,7,1144,0
1877,8,1414,1
1877,9,965,0
1877,10,1470,0
1877,11,1490,0
1877,12,1116,0
1878,1,856,0
1878,2,1251,0
1878,3,1123,0
1878,4,1368,0
1878,5,869,0
1878,6,984,0
1878,7,1032,0
1878,8,1528,0
1878,9,1162,0
1878,10,1418,0
1878,11,2036,0
1878,12,1411,1
1879,1,1027,0
1879,2,1457,0
1879,3,1039,0
1879,4,844,0
1879,5,716,0
1879,6,912,0
1879,7,1265,0
1879,8,1774,1
1879,9,704,0
1879,10,688,0
1879,11,1010,0
1879,12,1366,1
1880,1,990,0
1880,2,2010,0
1880,3,1487,0
1880,4,1218,0
1880,5,1069,0
1880,6,1239,2
1880,7,2305,2
1880,8,1731,0
1880,9,1001,0
1880,10,1119,0
1880,11,2233,0
1880,12,1308,0
1881,1,1202,0
1881,2,1403,0
1881,3,1351,0
1881,4,1707,0
1881,5,850,0
1881,6,924,0
1881,7,1463,0
1881,8,1306,1
1881,9,917,0
1881,10,1073,0
1881,11,1428,0
1881,12,1653,0
1882,1,1679,1
1882,2,1552,0
1882,3,1038,0
1882,4,1246,0
1882,5,1315,0
1882,6,1258,0
1882,7,1330,0
1882,8,1591,0
1882,9,1310,0
1882,10,1112,0
1882,11,1903,0
1882,12,2847,0
1883,1,1650,0
1883,2,2685,0
1883,3,1703,1
1883,4,945,0
1883,5,1168,0
1883,6,1237,0
1883,7,1255,0
1883,8,2757,0
1883,9,1708,0
1883,10,1561,0
1883,11,1557,0
1883,12,1259,0
1884,1,1335,0
1884,2,2004,0
1884,3,1493,2
1884,4,2035,0
1884,5,1339,0
1884,6,1043,0
1884,7,1343,0
1884,8,1878,0
1884,9,1237,0
1884,10,1135,0
1884,11,1332,0
1884,12,1342,0
1885,1,1604,0
1885,2,1528,0
1885,3,1138,0
1885,4,1301,0
1885,5,1522,0
1885,6,1149,0
1885,7,1600,0
1885,8,1890,2
1885,9,1831,0
1885,10,3383,0
1885,11,2064,0
1885,12,1693,0
1886,1,2226,0
1886,2,2231,0
1886,3,2779,1
1886,4,1485,0
1886,5,1477,0
1886,6,1726,3
1886,7,2092,3
1886,8,2162,0
1886,9,1640,0
1886,10,1466,0
1886,11,1462,0
1886,12,1298,0
1887,1,1646,0
1887,2,3315,2
1887,3,2493,1
1887,4,1881,0
1887,5,1311,0
1887,6,1651,0
1887,7,2174,0
1887,8,2477,0
1887,9,1878,0
1887,10,2047,0
1887,11,1746,0
1887,12,1902,0
1888,1,1995,0
1888,2,2501,0
1888,3,3533,2
1888,4,2737,0
1888,5,5086,0
1888,6,3022,0
1888,7,2223,0
1888,8,2283,0
1888,9,2289,0
1888,10,1858,0
1888,11,2422,0
1888,12,1816,0
1889,1,2732,0
1889,2,4400,0
1889,3,3704,1
1889,4,1743,2
1889,5,1451,1
1889,6,1773,0
1889,7,2100,0
1889,8,2511,0
1889,9,1848,0
1889,10,1523,0
1889,11,1598,1
1889,12,1624,1
1890,1,1764,0
1890,2,2090,0
1890,3,1825,0
1890,4,2559,1
1890,5,1655,1
1890,6,1281,0
1890,7,2085,0
1890,8,2624,0
1890,9,1636,0
1890,10,1841,0
1890,11,2131,0
1890,12,2119,1
1891,1,2078,0
1891,2,2486,0
1891,3,1667,0
1891,4,2452,1
1891,5,2785,1
1891,6,4452,1
1891,7,3016,5
1891,8,3121,3
1891,9,2293,3
1891,10,2386,0
1891,11,2591,0
1891,12,1933,0
1892,1,1994,0
1892,2,2405,1
1892,3,2090,0
1892,4,3674,3
1892,5,1922,0
1892,6,1999,0
1892,7,3051,13
1892,8,3113,2
1892,9,1983,0
1892,10,1704,0
1892,11,1888,0
1892,12,1820,0
1893,1,1905,0
1893,2,2751,0
1893,3,2095,0
1893,4,3593,7
1893,5,3186,6
1893,6,1570,9
1893,7,1464,0
1893,8,2162,0
1893,9,1798,0
1893,10,1716,0
1893,11,2283,1
1893,12,2565,0
1894,1,2257,1
1894,2,2527,0
1894,3,2113,0
1894,4,1938,1
1894,5,2368,2
1894,6,2985,1
1894,7,4820,0
1894,8,3247,2
1894,9,3516,0
1894,10,2031,0
1894,11,2010,0
1894,12,1871,1
1895,1,1887,1
1895,2,2336,0
1895,3,1668,0
1895,4,1438,0
1895,5,1615,0
1895,6,1669,0
1895,7,5202,1
1895,8,3381,0
1895,9,1841,0
1895,10,1848,0
1895,11,1939,0
1895,12,1613,0
1896,1,1932,1
1896,2,2966,0
1896,3,3625,6
1896,4,3123,6
1896,5,2230,0
1896,6,1777,0
1896,7,2279,2
1896,8,2879,2
1896,9,2069,0
1896,10,1835,0
1896,11,2115,1
1896,12,1986,2
1897,1,2628,0
1897,2,3967,1
1897,3,4785,3
1897,4,2148,0
1897,5,2784,0
1897,6,1660,0
1897,7,1941,0
1897,8,2579,0
1897,9,2224,0
1897,10,3461,2
1897,11,2072,0
1897,12,1984,0
1898,1,2085,0
1898,2,2553,0
1898,3,2374,1
1898,4,2690,1
1898,5,4235,1
1898,6,6226,5
1898,7,5203,2
1898,8,3569,0
1898,9,2890,1
1898,10,2329,0
1898,11,2308,0
1898,12,2207,1
1899,1,2254,0
1899,2,3523,0
1899,3,4590,7
1899,4,3470,4
1899,5,3251,2
1899,6,4884,3
1899,7,4741,0
1899,8,3939,2
1899,9,3193,1
1899,10,1980,0
1899,11,2284,0
1899,12,2510,2
1900,1,1991,1
1900,2,2553,2
1900,3,2163,1
1900,4,1934,1
1900,5,2343,1
1900,6,2343,0
1900,7,3037,0
1900,8,3420,2
1900,9,2673,3
1900,10,3646,2
1900,11,3577,1
1900,12,2539,0
1901,1,2668,0
1901,2,4038,0
1901,3,8075,6
1901,4,6765,8
1901,5,3205,0
1901,6,5079,3
1901,7,4486,1
1901,8,3201,4
1901,9,2330,1
1901,10,2509,1
1901,11,2670,0
1901,12,2235,0
1902,1,2279,0
1902,2,3543,5
1902,3,3990,5
1902,4,2480,0
1902,5,2856,1
1902,6,2411,0
1902,7,2510,1
1902,8,2575,0
1902,9,2939,2
1902,10,3071,1
1902,11,2836,1
1902,12,2920,4
1903,1,2776,9
1903,2,3080,0
1903,3,2918,0
1903,4,2817,2
1903,5,2571,27
1903,6,2388,5
1903,7,2385,0
1903,8,3179,0
1903,9,3010,0
1903,10,3736,1
1903,11,5043,0
1903,12,9093,0
1904,1,4188,1
1904,2,3707,0
1904,3,3576,0
1904,4,3521,2
1904,5,4554,0
1904,6,4899,0
1904,7,5677,1
1904,8,7181,7
1904,9,3058,0
1904,10,2720,6
1904,11,2736,1
1904,12,2488,1
1905,1,2357,3
1905,2,2859,0
1905,3,2372,1
1905,4,2471,0
1905,5,3314,2
1905,6,3045,0
1905,7,2536,0
1905,8,3300,0
1905,9,2755,1
1905,10,3135,0
1905,11,2758,0
1905,12,3009,6
1906,1,4285,1
1906,2,4376,5
1906,3,4004,1
1906,4,2966,0
1906,5,3334,0
1906,6,2934,0
1906,7,3751,0
1906,8,4209,10
1906,9,3545,0
1906,10,4097,0
1906,11,6963,1
1906,12,8635,1
1907,1,3838,0
1907,2,3272,1
1907,3,4141,0
1907,4,3378,2
1907,5,4861,3
1907,6,3186,0
1907,7,3137,2
1907,8,4604,0
1907,9,5708,7
1907,10,2812,2
1907,11,2925,0
1907,12,3912,3
1908,1,4760,4
1908,2,4861,5
1908,3,2952,0
1908,4,3080,3
1908,5,3357,15
1908,6,2816,1
1908,7,2695,2
1908,8,3319,2
1908,9,3757,6
1908,10,3019,1
1908,11,3748,5
1908,12,4036,5
1909,1,2878,2
1909,2,2808,4
1909,3,2818,0
1909,4,2740,1
1909,5,3183,7
1909,6,2708,2
1909,7,2866,0
1909,8,2936,0
1909,9,4164,2
1909,10,3891,5
1909,11,2965,0
1909,12,3185,1
1910,1,5385,0
1910,2,4235,0
1910,3,6434,0
1910,4,11159,3
1910,5,4528,0
1910,6,3422,2
1910,7,3190,1
1910,8,3932,1
1910,9,4339,2
1910,10,6078,8
1910,11,3457,3
1910,12,4476,1
1911,1,4169,1
1911,2,4181,1
1911,3,4357,2
1911,4,6760,8
1911,5,4319,2
1911,6,3155,11
1911,7,3262,0
1911,8,4347,3
1911,9,4485,9
1911,10,4725,1
1911,11,5058,5
1911,12,3555,24
1912,1,3934,0
1912,2,4105,1
1912,3,4205,0
1912,4,5287,5
1912,5,5491,12
1912,6,3268,0
1912,7,3131,1
1912,8,3679,2
1912,9,3034,3
1912,10,3424,0
1912,11,3567,0
1912,12,3401,2
1913,1,4357,6
1913,2,3596,4
1913,3,3823,1
1913,4,4602,1
1913,5,7417,1
1913,6,7978,5
1913,7,3896,1
1913,8,4264,0
1913,9,3352,0
1913,10,3472,0
1913,11,5146,8
1913,12,6719,10
1914,1,4575,1
1914,2,4096,1
1914,3,3973,1
1914,4,3607,2
1914,5,4358,1
1914,6,4766,0
1914,7,5765,2
1914,8,6068,0
1914,9,7188,3
1914,10,3843,1
1914,11,4221,4
1914,12,3054,19
1915,1,3034,2
1915,2,3460,1
1915,3,3254,1
1915,4,3853,2
1915,5,4044,3
1915,6,3061,2
1915,7,3067,0
1915,8,3183,2
1915,9,3128,0
1915,10,3599,0
1915,11,3455,0
1915,12,2921,0
1916,1,2793,1
1916,2,2849,0
1916,3,3522,13
1916,4,3323,2
1916,5,3711,0
1916,6,4287,5
1916,7,2571,2
1916,8,3806,0
1916,9,3873,0
1916,10,7160,1
1916,11,4815,8
1916,12,2814,2
1917,1,3051,0
1917,2,3574,0
1917,3,7116,2
1917,4,7155,1
1917,5,8590,19
1917,6,4433,1
1917,7,3451,3
1917,8,3626,0
1917,9,3122,0
1917,10,3407,3
1917,11,5788,3
1917,12,7198,1
1918,1,3385,1
1918,2,3347,5
1918,3,4454,4
1918,4,3695,2
1918,5,2984,4
1918,6,2460,0
1918,7,2258,0
1918,8,2962,2
1918,9,2311,0
1918,10,2525,1
1918,11,2794,1
1918,12,3336,2
1919,1,2565,2
1919,2,2057,1
1919,3,2520,0
1919,4,3101,32
1919,5,3306,23
1919,6,2673,11
1919,7,2108,1
1919,8,2573,3
1919,9,2692,1
1919,10,3245,0
1919,11,4547,4
1919,12,7289,22
1920,1,5300,13
1920,2,4100,0
1920,3,5136,34
1920,4,3021,11
1920,5,2563,3
1920,6,2572,0
1920,7,2648,2
1920,8,3197,2
1920,9,3954,3
1920,10,5949,11
1920,11,4037,33
1920,12,2754,4
1921,1,2321,0
1921,2,2548,1
1921,3,3451,4
1921,4,4158,6
1921,5,2950,8
1921,6,2652,3
1921,7,3507,1
1921,8,3857,2
1921,9,2990,2
1921,10,2313,3
1921,11,2397,0
1921,12,2828,0
1922,1,2564,5
1922,2,3664,1
1922,3,5538,21
1922,4,3481,18
1922,5,3393,5
1922,6,3723,7
1922,7,2626,3
1922,8,3159,2
1922,9,2807,3
1922,10,3658,4
1922,11,5234,5
1922,12,7918,17
1923,1,4160,13
1923,2,2556,0
1923,3,2862,3
1923,4,2956,2
1923,5,3737,18
1923,6,2841,0
1923,7,2658,2
1923,8,3772,3
1923,9,3034,5
1923,10,3721,9
1923,11,3154,3
1923,12,3562,5
1924,1,2552,10
1924,2,3034,1
1924,3,4606,13
1924,4,5096,11
1924,5,4176,6
1924,6,3754,3
1924,7,3208,2
1924,8,3291,2
1924,9,2817,0
1924,10,4081,2
1924,11,4081,9
1924,12,3577,2
1925,1,2843,1
1925,2,3320,3
1925,3,3574,3
1925,4,4877,5
1925,5,6042,10
1925,6,5398,43
1925,7,2853,3
1925,8,2948,1
1925,9,3397,2
1925,10,5790,4
1925,11,9697,55
1925,12,4770,5
1926,1,2881,1
1926,2,2589,0
1926,3,3052,0
1926,4,3576,4
1926,5,3874,4
1926,6,2673,3
1926,7,3401,5
1926,8,4248,6
