,ALP,L-NP
April 29/30 & May 6/7,57.5,42.5
April 15/16 & 22/23,56.5,43.5
April 1/2 & 8/9,57.0,43.0
March 18/19 & 25/26,54.5,45.5
March 4/5 & 11/12,56.5,43.5
February 26/27,55.0,45.0
February 19/20,56.5,43.5
February 5/6 & 12/13,57.5,42.5
January 22/23 & 29/30,56.5,43.5
January 8/9 & 15/16,56.0,44.0
December 11/12 & 18/19,55.5,44.5
Nov 27/28 & December 4/5,52.5,47.5
November 13/14 & 20/21,53.5,46.5
October 16/17 & 23/24,53.0,47.0
October 2/3 & 9/10,51.5,48.5
October 30/31 & Nov 6/7,51.0,49.0
September 18/19 & 25/26,52.5,47.5
September 4/5 & 11/12,51.5,48.5
August 21/22 & 28/29,54.5,45.5
July 31/Aug 1 to August 21/22,50.0,50.0
August 7/8 & 14/15,50.5,49.5
July 24/25 & 31/August 1,53.5,46.5
July 10/11 & 17/18,51.5,48.5
June 26/27 & July 3/4,53.5,46.5
June 12/13 & 19/20,54.5,45.5
May 29/30 & June 5/6,52.0,48.0
May 15/16 & 22/23,54.0,46.0
May 1/2 & 8/9,56.5,43.5
April 17/18 & 24/25,55.0,45.0
April 3/4 & 10/11,55.0,45.0
March 20/21 & 27/28,54.0,46.0
March 6/7 & 13/14,55.5,44.5
February 20/21 & 27/28,51.0,49.0
February 6/7 & 13/14,52.0,48.0
January 23/24 & 30/31,53.5,46.5
January 9/10 & 16/17,54.0,46.0
December 5/6 & 12/13,52.0,48.0
November 21/22 & 28/29,55.0,45.0
November 7/8 & 14/15,52.5,47.5
October 24/25 & October 31/November 1,54.5,45.5
October 10/11 & 17/18,51.0,49.0
"Federal Election - October 3, 19981",51.0,49.0
September 23/24#,50.5,49.5
September 19/20,55.5,44.5
September 12/13,55.0,45.0
September 5/6,54.5,46.5
August 29/30,55.5,44.5
August 22/23,54.5,45.5
August 15/16,54.5,45.5
August 1/2 & 8/9,58.0,42.0
July 18/19 & 25/26,56.0,44.0
July 4/5 & 11/12***,57.5,42.5
June 24/25 & July 1/2,53.5,46.5
June 17/18,53.0,47.0
June 3/4 & 10/11,51.5,48.5
May 20/21 & 27/28,53.0,47.0
May 6/7 & 13/14,51.5,48.5
April 29/30,50.5,49.5
April 22/23,53.5,46.5
April 15/16,47.0,53.0
April 1/2 & 8/9,50.0,50.0
March 18/19 & 25/26,50.5,49.5
March 4/5 & 11/12,50.0,50.0
February 18/19 & 25/26,51.0,49.0
February 4/5 & 11/12,52.5,47.5
January 21/22 & 28/29,52.5,47.5
January 7/8 & 14/15,52.0,48.0
December 3/4 & 10/11,48.5,51.5
November 19/20 & 26/27 (ALP high),54.5,45.5
November 5/6 & 12/13,53.5,46.5
October 22/23 & 29/30,53.5,46.5
October 15/16,53.0,47.0
October 1/2 & 8/9,42.5,57.5
September 24/25,50.0,50.0
September 17/18,48.0,52.0
September 3/4 & 10/11,48.5,51.5
August 20/21 & 27/28,49.0,51.0
August 13/14 & 16,46.5,53.5
August 6/7(L-NP low),54.5,45.5
July 23/24 & 30/31,49.0,51.0
July 9/10 & 16/17,48.0,52.0
June 25/26 & July 2/3,48.0,52.0
June 11/12 & 18/19,45.5,54.5
May 28/29 & June 4/5,45.0,55.0
May 21/22,45.0,55.0
May 11 & 14/15,48.5,51.5
April 30/May 1 & May 7/8 (ALP low),44.5,55.5
April 16/17 & 22/23,48.0,52.0
April 2/3 & 9/10,44.5,55.5
March 25/26,47.0,53.0
March 19/20,44.5,55.5
March 5/6 & 12/13,42.5,57.5
February 19/20 & 26/27,45.5,54.5
February 5/6 & 12/13,46.5,53.5
January 22/23 & 29/30,43.5,56.5
January 8/9 & 15/16,43.0,57.0
December 11/12 & 18/19,45.5,54.5
November 28/29 & December 4/5,44.5,55.5
November 13/14 & 20/21,44.0,56.0
October 30/31& November 6/7,43.5,56.5
October 23/24,42.0,58.0
October 2/3 & 9/10,45.5,55.5
September 18/19 & 25/26,44.0,56.0
September 4/5 & 11/12,46.5,53.5
August 22 & 28/29,43.5,56.5
August 7/8 & 14/15,43.5,56.5
July 24/25 & July 31/August 1,41.5,58.5
July 10/11 & 17/18,42.5,57.5
June 29 & July 3/4,42.0,58.0
June 22,45.5,55.5
June 1**,43.0,57.0
May 11/18*,42.5,57.5
April 27/28-May 4/5 (L-NP high)*,41.5,58.5
April 13/20*,45.5,54.5
March 30/April 6*,43.5,56.5
March 16/23,44.0,56.0
"Federal Election - March 2, 1996",46.4,53.6
"Federal Election - March 13, 1993",51.4,48.6
"Federal Election - March 24, 1990",49.9,50.1
"Federal Election - July 11, 1987",50.8,49.2
"Federal Election - December 1, 1984",51.8,48.2
"Federal Election - March 5, 1983",53.2,46.8
"Federal Election - October 18, 1980",49.6,50.4
"Federal Election - December 10, 1977",45.4,54.6
"Federal Election - December 13, 1975",44.3,55.7
"Federal Election - May 18, 1974",51.7,48.3
"Federal Election - December 2, 1972",52.7,47.3
"Federal Election - October 25, 1969",50.2,49.8
"Federal Election - November 26, 1966",43.1,56.9
"Federal Election - November 30, 1963",47.4,52.6
"Federal Election - December 9, 1961",50.5,49.5
"Federal Election - November 22, 1958",45.9,54.1
"Federal Election - December 10, 1955",45.8,54.2
"Federal Election - May 29, 1954",50.7,49.3
"Federal Election - April 28, 1951",49.3,50.7
"Federal Election - December 10, 1949",49.0,51.0
"Federal Election - September 28, 1946",52.2,47.8
"Federal Election - August 21, 1943",58.2,41.8
"Federal Election - September 21, 1940",50.3,49.7
"Federal Election - October 23, 1937",46.6,53.4
"Federal Election - September 15, 1934",45.8,54.2
"Federal Election - December 19, 1931",41.9,58.1
"Federal Election - October 12, 1929",51.9,48.1
"Federal Election - November 17, 1928",46.7,53.3
"Federal Election - November 14, 1925",45.9,54.1
"Federal Election - December 16, 1922",44.9,55.1
"Federal Election - December 13, 1919",44.1,55.9
"Federal Election - May 5, 1917",##,##
"Federal Election - September 5, 1914",##,##
"Federal Election - May 31, 1913",##,##
"Federal Election - April 13, 1910",##,##
"Federal Election - December 12, 1906",##,##
"Federal Election - December 16, 1903",##,##
"Federal Election - March 29/30, 1901",##,##
